GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employees,com.raven.employees.controller,EmployeesController,0,55,0,0,0,10,0,6,0,6
employees,com.raven.employees.controller,Status,0,10,0,0,0,2,0,2,0,2
employees,com.raven.employees.repository.impl,EmployeesRepositoryImpl,73,12,2,0,12,4,2,1,1,1
employees,com.raven.employees.util,Validations,19,3,4,0,7,1,4,1,2,1
employees,com.raven.employees.models,Employee,0,39,0,0,0,15,0,2,0,2
employees,com.raven.employees.models,GenericResponse,13,15,0,0,4,7,1,2,1,2
employees,com.raven.employees.exception,ControllerAdvice,38,3,0,0,4,1,2,1,2,1
employees,com.raven.employees.exception,GenericException,0,16,0,0,0,4,0,1,0,1
employees,com.raven.employees.enums,EnumHttpMessages,0,50,0,0,0,9,0,2,0,2
employees,com.raven.employees,EmployeesApplication,5,3,0,0,2,1,1,1,1,1
employees,com.raven.employees.service.impl,EmployeesServiceImpl,0,171,0,8,0,42,0,11,0,7
